"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon"
"Grand Canyon National Park","Herbarium","","","GCNP<IH>","","urn:uuid:1de5abe1-7b96-43bc-9be3-552040943c6e","urn:lsid:biocol.org:col:14934","http://www.nps.gov/grca/historyculture/muscol.htm","","","",NA,NA,"","","","Colleen L. Hyde","Collection Supervisor","colleen_hyde@nps.gov","P.O. Box 129","Grand Canyon","Arizona","86023-0129","Museum Collection Research and Storage Facility.","Grand Canyon","Arizona","86023-0129","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124635","","",35.2316,-111.6592
"Oregon State University Herbarium","Herbarium","33fd0737-6207-42cc-bc64-cc637266b476, 37d4d085-d8be-4826-9bc4-c6a36557fa70, 1db8b527-7713-405b-b7ec-bc824580ccc6, 139f2c47-4051-4c44-b95a-45fd20b1a8b9","{""recordset"":[""33fd0737-6207-42cc-bc64-cc637266b476"",""37d4d085-d8be-4826-9bc4-c6a36557fa70"",""1db8b527-7713-405b-b7ec-bc824580ccc6"",""139f2c47-4051-4c44-b95a-45fd20b1a8b9""]}","OSC<IH>","","urn:uuid:1e0b39d8-4e6d-4ef3-bc7c-6e099a99422c","urn:lsid:biocol.org:col:15613","http://oregonstate.edu/dept/botany/herbarium","http://oregonstate.edu/dept/botany/herbarium/db.php","","",NA,NA,"","","","Aaron I. Liston","Director","listona@science.oregonstate.edu","Department of Botany and Plant Pathology, 2082 Cordley Hall","Corvallis","Oregon","97331-2902","Department of Botany and Plant Pathology, 2082 Cordley Hall","Corvallis","Oregon","97331-2902","urn:uuid:121e84fb-8c8b-45d3-b93c-6c3985f660c3","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125620","","",44.663,-123.1566
"University of Oregon, The Museum of Natural and Cultural History","Zoology","","","","","urn:uuid:1e12b0d8-1012-48ba-9eb5-faf118199e09","","http://natural-history.uoregon.edu/collections/zoology-collections","","","",NA,NA,"","","","Greg Retallack","Co-Director","gregr@uoregon.edu","1680 E. 15th Ave","Eugene","Oregon","97403-1224","1680 E. 15th Ave","Eugene","Oregon","97403-1224","urn:uuid:9f36297a-4423-4f1d-88ef-2b0d1828bffe","","","","","","",44.0433,-123.0684
"University of Texas at Austin, Marine Science Institute","Marine Science","","","","","urn:uuid:1e906f58-048f-11e5-be69-002315492bbc","","","","","",NA,NA,"","","","Robert W Dickey","Director","robert.dickey@utexas.edu","750 Channel View Dr","Port Aransas","Texas","78373","750 Channel View Dr","Port Aransas","Texas","78373","urn:uuid:bb25e07f-cfd3-4a08-9409-3d3825938860","","","","","","",27.8379,-97.0544
"Southern Research Station","Herbarium","","","SFRP<IH>","","urn:uuid:1ed254a2-ec03-4165-a9dd-475f44bdd045","urn:lsid:biocol.org:col:15045","http://www.southernregion.fs.fed.us/kisatchie/nat_resources/botany/botany.htm","","","",NA,NA,"","","","David Moore","Curator","davemoore@fs.fed.us","Kisatchie National Forest, 2500 Shreveport Highway","Pineville","Louisiana","71360","","Pineville","Louisiana","71360","urn:uuid:57653f82-9d68-4c30-868c-d8f3d75adcbe","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126019","","",31.2232,-92.3203
"Haleakala National Park","Entomology","","","HNPH","HALE","urn:uuid:1ef477e8-b6f3-4056-b2e3-dd78bde8c152","","https://www.nps.gov/hale/learn/historyculture/entomological-collection.htm","","","",NA,NA,"","","","Katie Matthew","Collection Manager","katie_matthew@nps.gov","PO Box 369","Makawao, Maui","Hawaii","96768","","Makawao, Maui","Hawaii","96768","","","","","","","",20.7035,-156.2197
"Field Museum of Natural History","Amphibians and Reptiles","b4bcc255-4acf-4966-b9b3-af9dd4e458d1","{""recordset"":""b4bcc255-4acf-4966-b9b3-af9dd4e458d1""}","FMNH","","urn:uuid:1f1e7c74-1e0f-4701-94c9-2f42319e056a","http://grbio.org/cool/05pf-h6mh","http://fieldmuseum.org/explore/department/zoology/amphibians-and-reptiles","http://fm1.fieldmuseum.org/collections/search.cgi?dest=herps&action=form","North America, Indo-Australia, Asia, South America","",290000,NA,"","North America, Indo-Australia, Asia, South America","290000","Alan Resetar","Collections Manager","aresetar@fieldmuseum.org","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","urn:uuid:ea4f0640-ef20-40aa-b359-166f07c7492a","","","","","","",41.8691,-87.6176
"Houghton Lake Wildlife Research Station","Herbarium","","","HL<IH>","","urn:uuid:1f493963-a727-41ff-8241-bd2b116b133c","urn:lsid:biocol.org:col:13245","","","","",NA,NA,"","","","Daniel Moran","Curator","morand@michigan.gov","Natural Resources Department, Box 158","Houghton Lake Heights","Michigan","48630","180 South Old U.S. Highway 27.","Houghton Lake Heights","Michigan","48630","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124770","","",44.3129,-84.7935
"Yale University, Peabody Museum of Natural History","Invertebrate Zoology","b5f4526b-f4fb-4d90-8ce0-975e0cda8ff6","{""recordset"":""b5f4526b-f4fb-4d90-8ce0-975e0cda8ff6""}","YPM","","urn:uuid:1f576892-bc32-4267-b3e9-98594f159328","","http://peabody.yale.edu/collections/invertebrate-zoology","http://peabody.yale.edu/collections/search-collections?iz","","",NA,NA,"","","","Eric Lazo-Wasem","Senior Collections Manager","eric.lazo-wasem@yale.edu","Yale University, PO Box 208118","New Haven","Connecticut","06511-0000","170-210 Whitney Avenue","New Haven","Connecticut","06511-0000","urn:uuid:8eb8c789-898c-4e9e-9c26-68768c612a6d","","","","","","",41.3167,-72.9204
"Indiana University, Deam Herbarium","Herbarium","2e3a8e5c-eef9-462d-a690-3a91fe111e13, b3d53973-5bac-432a-90d3-7956baa09c5d, 0dab1fc7-ca99-456b-9985-76edbac003e0","{""recordset"":[""2e3a8e5c-eef9-462d-a690-3a91fe111e13"","" b3d53973-5bac-432a-90d3-7956baa09c5d"","" 0dab1fc7-ca99-456b-9985-76edbac003e0""]}","IND<IH>","","urn:uuid:1facebca-3b65-4e4e-8163-3e329a50f97d","urn:lsid:biocol.org:col:15485","http://www.bio.indiana.edu/faculty/facilities/herbarium.shtml","","","",NA,NA,"","","","Eric Knox","Director","eknox@indiana.edu","Department of Biology, Smith Research, Room 130, 2805 East 10th Street","Bloomington","Indiana","47408-2698","Smith Research Center 130C.","Bloomington","Indiana","47408-2698","urn:uuid:b6f1151b-93b8-4efc-ba52-d4674a001b65","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124810","","",39.1663,-86.4813
"University of Louisiana at Lafayette","Herbarium","","","LAF<IH>","","urn:uuid:1fb9b9f3-061c-404c-a7b4-c2f6b0687d46","urn:lsid:biocol.org:col:14554","http://biology.ucs.louisiana.edu/content/herbarium","","","",NA,NA,"","","","Garrie Paul Landry","Curator","cycad@louisiana.edu","Biology Department, P.O. Box 42451","Lafayette","Louisiana","70504-2451","300 E St. Mary Boulevard.","Lafayette","Louisiana","70504-2451","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126714","","",30.2157,-92.0233
"The Barnes Foundation Arboretum","Herbarium","","","ABFM<IH>","","urn:uuid:1fca2c2c-23a7-45b5-b7f7-2b5597ad7788","urn:lsid:biocol.org:col:14196","http://www.barnesfoundation.org/collections/plant-collections-i/herbarium","","","",NA,NA,"","","About 10,000 specimens; mostly of plants cultivated in the arboretum in 1960-70s, collections of Dr. John Fogg Jr from his travels overseas, and specimens from Ker-Feal, a Chester county property of the Foundation collected early in and around 2006-08 by Arlfred Schuyler.","Jacob Thomas","Deputy Director for Living Collections","jthomas@barnesfoundation.org","300 North Latch's Lane","Merion","Pennsylvania","19066-1729","300 North Latch's Lane","Merion","Pennsylvania","19066-1729","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126143","","",40.0013,-75.2491
"Western Foundation of Vertebrate Zoology","Vertebrate Zoology","5ace330b-5888-4a46-a5ac-e428535ed4f3","{""recordset"":""5ace330b-5888-4a46-a5ac-e428535ed4f3""}","WFVZ","","urn:uuid:20a7ffd0-69f0-445b-9450-4a6f36e1d22b","urn:lsid:biocol.org:col:34967","","","","",NA,NA,"","","","Linnea Hall","Curator","linnea@wfvz.org","439 Calle San Pablo","Camarillo","California","93012","439 Calle San Pablo","Camarillo","California","93012","","","","","","","",34.2082,-119.0388
"North Museum of Natural History and Science","Invertebrate Zoology","","","","","urn:uuid:20ad57bd-cc68-4d88-9391-31ff4d2a55da","","http://www.northmuseum.org/Exhibits/Collections/Other/tabid/123/Default.aspx","","","",NA,NA,"","","","","","info@northmuseum.org","400 College Avenue","Lancaster","Pennsylvania","17603-3393","400 College Avenue","Lancaster","Pennsylvania","17603-3393","","","","","","","",40.0431,-76.3198
"University of California Santa Cruz","Birds","","","","","urn:uuid:2101f0d9-8687-4b2b-8d53-e4613a3e09e4","","http://mnhc.ucsc.edu/coll_res/collections/birds.shtml","","","",NA,NA,"","","","Chris Lay","Curator","cml@ucsc.edu","Department of Environmental Studies, Museum of Natural History, 1156 High St.","Santa Cruz","California","95064","1156 High Street, Natural Sciences 2 building","Santa Cruz","California","95064","urn:uuid:7732a3ac-43ed-4a69-aa0a-d0c99c415e80","","","","","","",36.9775,-122.0559
"St. Martin's College","Herbarium","","","OSMC<IH>","","urn:uuid:211e6ba2-c49c-4e0d-b900-1ba47632026e","urn:lsid:biocol.org:col:15433","","","","",NA,NA,"","","","Margaret Olney","Curator","molney@stmartin.edu","Biology Department","Lacey","Washington","98503","","Lacey","Washington","98503","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126073","","",47.0264,-122.7967
"Albion College","Herbarium","15e04168-22cc-4283-9042-247ab053c7ca","{""recordset"":""15e04168-22cc-4283-9042-247ab053c7ca""}","ALBC<IH>","","urn:uuid:21284742-f3e0-4e3b-869e-441644c55d34","urn:lsid:biocol.org:col:12572","","","","",NA,NA,"","","","James D. Skean","Director","dskean@albion.edu","Biology Department","Albion","Michigan","49224","609 Porter Street.","Albion","Michigan","49224","urn:uuid:2de08b7a-2b73-45f5-b777-8e66ce2626e2","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=123932","","",42.2439,-84.746
"Minnesota State University-Mankato","Darlene and William Radichel Herbarium","","","MANK<IH>","","urn:uuid:214f5266-6f95-4687-b7c1-f074575eda4e","urn:lsid:biocol.org:col:15370","https://cset.mnsu.edu/biology/herbarium/","","","",8000,NA,"Vascular plants","Greater south-central Minnesota","","Matthew Kaproth","","matthew.kaproth@mnsu.edu","Department of Biological Sciences, 242 Trafton Science Center South","Mankato","Minnesota","56001","","Mankato","Minnesota","56001","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125273","","",44.1283,-93.9789
"University of Wisconsin, Insect Research Collection","Entomology","b761d317-a36e-4a05-a5f4-bd3e3963daf6,ae04a8bb-eb28-4671-839b-62dde372353e","{""recordset"":[""b761d317-a36e-4a05-a5f4-bd3e3963daf6"",""ae04a8bb-eb28-4671-839b-62dde372353e""]}","WISC","WIRC","urn:uuid:21672781-fef6-49e9-9c98-5843cb6e6e5e","","http://labs.russell.wisc.edu/wirc/","http://labs.russell.wisc.edu/wirc/collections/","Hemiptera (Membracidae), Coleoptera (generally), Hymenoptera (generally), Diptera (especially Syrphidae), Lepidoptera (generally), WI aquatic insects World, but emphasis on United States, and especially Wisconsin and the Great Lakes Region","",NA,NA,"Hemiptera (Membracidae), Coleoptera (generally), Hymenoptera (generally), Diptera (especially Syrphidae), Lepidoptera (generally), WI aquatic insects","World, but emphasis on United States, and especially Wisconsin and the Great Lakes Region","","Daniel K. Young","Director","young@entomology.wisc.edu","445 Russell Lab, 1630 Liden Drive","Madison","Wisconsin","53706-1598","445 Russell Lab, 1630 Liden Drive","Madison","Wisconsin","53706-1598","urn:uuid:863a8746-d0c0-4f63-8ea4-1101e28a9fa6","","","","","","",43.0852,-89.3777
"Southern Oregon University, Southern Oregon Insect Museum","Insects","","","SOU","","urn:uuid:2178c211-a5da-463b-9289-097811de02c0","","http://www.sou.edu/biology/entmuseum.html","","Specimens are representative of most insect orders and families from the region. Collection has a strongest taxonomic representation in regional Diptera and Lepidoptera. Much of the holdings represent specimens from the unique geological region and have a unique ecological importance. Mostly regional (southern Oregon and northern California) but collection has specimens from many other locations worldwide.","",NA,NA,"Specimens are representative of most insect orders and families from the region. Collection has a strongest taxonomic representation in regional Diptera and Lepidoptera. Much of the holdings represent specimens from the unique geological region and have a unique ecological importance.","Mostly regional (southern Oregon and northern California) but collection has specimens from many other locations worldwide.","30000","Carol S. Ferguson","Curator","ferguson@sou.edu","Science 352, 1250 Siskiyou Blvd","Ashland","Oregon","97520","Science 352, 1250 Siskiyou Blvd","Ashland","Oregon","97520","","","","","","","",42.1939,-122.7088
"The Little Nature Museum","Paleontology/ Paleobiology","","","","","urn:uuid:2233a8a7-d7b8-497f-a728-64d98eb7c821","","","","Fossils","",NA,NA,"","","","Sandy Martin ","","info@littlenaturemuseum.org","18 Highlawn Road","Warner","New Hampshire","03278-0000","18 Highlawn Rd","Warner","New Hampshire","03278-0000","","","","","","","",43.2956,-71.8254
"New York State Museum","Ornithology","a8f0fbaf-68b3-4e73-83d7-24d238ac966d","{""recordset"":""a8f0fbaf-68b3-4e73-83d7-24d238ac966d""}","NYSM","zo-","urn:uuid:223fa335-13b2-4210-b169-e6ffd9496353","","http://www.nysm.nysed.gov/research_collections/collections/biology/ornithology/index.html","","Skins,skeletons, frozen tissues are mostly North American bird families. Eggs cover nearly all bird families. Skins,skeletons, frozen tissues are mostly eastern North America. Some from other parts of N.A. Egg sets are global.","",19000,NA,"Skins,skeletons, frozen tissues are mostly North American bird families. Eggs cover nearly all bird families.","Skins,skeletons, frozen tissues are mostly eastern North America. Some from other parts of N.A. Egg sets are global.","19000","Jeremy J Kirchman","Curator","jeremy.kirchman@nysed.gov","Cultural Education Center, 222 Madison Avenue","Albany","New York","12230","Cultural Education Center, 222 Madison Avenue","Albany","New York","12230","urn:uuid:457178bf-70b8-4bce-916f-829d2ad5b3ff","","","","","","",42.6455,-73.7536
"University of Nevada, Las Vegas,Wesley E. Niles Herbarium","Herbarium","4900d7ce-9442-4305-9889-c9cbbb953eaa, 9b62118d-9b90-46b1-854d-06a5a9a22a90","{""recordset"":[""4900d7ce-9442-4305-9889-c9cbbb953eaa"",""9b62118d-9b90-46b1-854d-06a5a9a22a90""]}","UNLV","","urn:uuid:2251181d-fea9-4c62-95af-82f8e9d8a8b6","urn:lsid:biocol.org:col:15599","http://www.unlv.edu/lifesciences/herbarium","","The focus of the herbarium is plants of Nevada, and the contiguous states of California, Utah, Arizona, and Oregon. Floral regions emphasized include the Mojave Desert, Colorado Plateau, and Great Basin.","",65000,NA,"The focus of the herbarium is plants of Nevada, and the contiguous states of California, Utah, Arizona, and Oregon. Floral regions emphasized include the Mojave Desert, Colorado Plateau, and Great Basin.","","65000","Kathryn J. Birgy","","kathryn.birgy@unlv.edu","School of Life Sciences, Box 454004","Las Vegas","Nevada","89154-4004","4505 Maryland Parkway, School of Life Sciences, University of Nevada, Las Vegas, Box 454004","Las Vegas","Nevada","89154-4004","urn:uuid:f60c3fa0-0786-4dfb-b7db-2d127974a581","","","","","","",35.9279,-114.9721
"Carnegie Museum of Natural History","Mollusks","77e7e6bd-7822-4b84-a46b-39a06abdac2e","{""recordset"":""77e7e6bd-7822-4b84-a46b-39a06abdac2e""}","CM","Mollusks","urn:uuid:22a11d6f-30fc-45bb-a8f8-f15e0326f4c9","","http://www.carnegiemnh.org/mollusks/index.html","http://collections.carnegiemnh.org/mollusks/specimen","","",NA,NA,"","","","Timothy A. Pearce","Assistant Curator","pearcet@carnegiemnh.org","4400 Forbes Avenue","Pittsburgh","Pennsylvania","15213","4400 Forbes Avenue","Pittsburgh","Pennsylvania","15213","urn:uuid:806b335a-9236-425e-a8be-21eb9772e657","","","","","","",40.4441,-79.9505
"Academy of Natural Sciences of Drexel University","Herpetology","","","ANSP","","urn:uuid:22a68cd4-50ca-4f89-afce-5bdbad4fdf41","","http://www.ansp.org/research/systematics-evolution/collections/herpetology/","","New World","",40000,NA,"","New World","40000","Ted Daeschler","Associate Curator","daeschler@ansp.org","Department of Vertebrate Zoology, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","urn:uuid:305b87cb-0ddf-4721-ab53-31820e511e35","","","","","","",39.958,-75.1767
"University of Montana Herbarium","Herbarium","7340c0df-8829-4197-9dc7-0328b8e7f5dd, 844875a9-9927-48a5-90b4-76c5f227f145","{""recordset"":[""7340c0df-8829-4197-9dc7-0328b8e7f5dd"",""844875a9-9927-48a5-90b4-76c5f227f145""]}","MONTU<IH>","","urn:uuid:22de2610-315f-4e03-a45c-31defd9b8f45","urn:lsid:biocol.org:col:15655","http://herbarium.dbs.umt.edu/","","Extensive collections from the montane, subalpine and alpine zones dating back to the late 1800's. Montana and the northern Rocky Mountains","",130000,NA,"Extensive collections from the montane, subalpine and alpine zones dating back to the late 1800's.","Montana and the northern Rocky Mountains","130000","Shannon Kimball","Curator/Collection Manager","shannon.kimball@mso.umt.edu","Biological Sciences Division, University of Montana","Missoula","Montana","59812","303 Natural Science Building.","Missoula","Montana","59812-1002","urn:uuid:b097d202-890b-43ab-b634-7c6605ae858c","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126742","","",47.116,-114.0498
